7,588,154
8,297,154
8,442,154
7,588,228
8,297,228
8,442,228
7,588,332
8,297,332
8,442,332
-8,77,154
-8,77,228
-8,77,332
-8,679,154
-8,679,228
-8,679,332
-7,307,154
-7,307,228
-7,307,332
-6,73,154
-6,73,228
-6,73,332
5,588,55
5,297,55
5,442,55
6,77,55
6,679,55
7,307,55
8,73,55
-5,3,154
-5,3,228
-5,3,332
-8,3,55
4,588,347
5,297,347
5,442,347
5,77,347
5,679,347
6,307,347
7,73,347
8,3,347
-5,506,154
-5,506,228
-5,506,332
-7,506,55
-8,506,347
4,588,134
4,297,134
4,442,134
5,77,134
5,679,134
5,307,134
6,73,134
7,3,134
8,506,134
4,588,162
4,297,162
4,442,162
5,77,162
5,679,162
5,307,162
6,73,162
7,3,162
8,506,162
4,588,362
4,297,362
4,442,362
5,77,362
5,679,362
5,307,362
6,73,362
7,3,362
8,506,362
-4,522,154
-4,522,228
-4,522,332
-6,522,55
-7,522,347
-8,522,134
-8,522,162
-8,522,362
-4,626,154
-4,626,228
-4,626,332
-6,626,55
-7,626,347
-8,626,134
-8,626,162
-8,626,362
-4,160,154
-4,160,228
-4,160,332
-5,160,55
-6,160,347
-7,160,134
-7,160,162
-7,160,362
-4,81,55
-5,81,347
-5,81,134
-5,81,162
-5,81,362
-4,695,55
-5,695,347
-5,695,134
-5,695,162
-5,695,362
-4,716,55
-5,716,347
-5,716,134
-5,716,162
-5,716,362
3,307,309
4,73,309
4,3,309
5,506,309
5,522,309
5,626,309
6,160,309
8,81,309
8,695,309
8,716,309
3,307,313
4,73,313
4,3,313
5,506,313
5,522,313
5,626,313
6,160,313
8,81,313
8,695,313
8,716,313
3,3,120
4,506,120
4,522,120
4,626,120
5,160,120
6,81,120
6,695,120
6,716,120
-3,375,347
-4,375,134
-4,375,162
-4,375,362
-6,375,309
-6,375,313
-8,375,120
-3,547,134
-3,547,162
-3,547,362
-5,547,309
-5,547,313
-7,547,120
-5,238,309
-5,238,313
-6,238,120
-4,17,309
-4,17,313
-5,17,120
-4,72,309
-4,72,313
-5,72,120
-3,92,309
